	Common Settings,	
	.Source/Sweep Points,	101
	.Stepper,	base
	.Stepper Points,	5
	.Repeat,	0
	.Source to Measure Delay,	0.005
	.Measure Window,	16.667 ms
	.NPLC,	1
	.Channel,	base
	..Instrument,	New Top 2450
	...Model,	2450
	...Serial Number,	01419964
	..Source Settings,	
	...Mode,	DC
	...Function,	Current Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	5E-05
	...Stop,	0.0004
	...Step,	8.75E-05
	...Limit,	20
	..Measure Settings,	
	...Current,	Measured
	...Voltage,	False
	...Range,	Auto
	...Minimum Range,	0.02
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Front
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	collector
	..Instrument,	Bottom 2450
	...Model,	2450
	...Serial Number,	01419958
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	0
	...Stop,	4
	...Step,	0.04
	...Limit,	1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-08
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Front
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","base = 5E-05Abase Time (s)","base = 5E-05Abase Current (A)","base = 5E-05Acollector Voltage (V)","base = 5E-05Acollector Current (A)","base = 0.0001375Abase Time (s)","base = 0.0001375Abase Current (A)","base = 0.0001375Acollector Voltage (V)","base = 0.0001375Acollector Current (A)","base = 0.000225Abase Time (s)","base = 0.000225Abase Current (A)","base = 0.000225Acollector Voltage (V)","base = 0.000225Acollector Current (A)","base = 0.0003125Abase Time (s)","base = 0.0003125Abase Current (A)","base = 0.0003125Acollector Voltage (V)","base = 0.0003125Acollector Current (A)","base = 0.0004Abase Time (s)","base = 0.0004Abase Current (A)","base = 0.0004Acollector Voltage (V)","base = 0.0004Acollector Current (A)"
"17","2.04224366","4.99996531289071E-05","0.64016330242157","0.00836636498570442","12.08188526","0.000137495560920797","0.639998733997345","0.0204964950680733","21.32577212","0.000224995179451071","0.639995753765106","0.0284456256777048","30.557779","0.000312492542434484","0.639993190765381","0.0347597301006317","39.79299156","0.000399989687139168","0.639991164207458","0.0401652827858925"
"18","2.11651692","4.99996749567799E-05","0.680209100246429","0.00833162479102612","12.15616188","0.000137496041134","0.679992496967316","0.0207768436521292","21.40005174","0.000224995194002986","0.679989278316498","0.0288497246801853","30.63205242","0.000312491349177435","0.679988026618958","0.0352173857390881","39.86726622","0.000399989250581712","0.679987132549286","0.040648277848959"
"19","2.19079558","4.99996531289071E-05","0.720207512378693","0.00830858945846558","12.23043138","0.000137495924718678","0.720004379749298","0.0210435539484024","21.47431938","0.000224995063035749","0.720001101493835","0.0292463954538107","30.70633676","0.000312491989461705","0.719999432563782","0.0356695912778378","39.94154794","0.000399989308789372","0.71999728679657","0.0411263406276703"
"20","2.2650736","4.99996458529495E-05","0.7601198554039","0.0082952119410038","12.30472418","0.000137495342642069","0.760007560253143","0.021295627579093","21.54860824","0.000224995106691495","0.760005474090576","0.0296350717544556","30.78061242","0.000312492193188518","0.760003864765167","0.0361158885061741","40.0158307","0.000399989541620016","0.7600017786026","0.0415997095406055"
"21","2.33935408","4.99996676808223E-05","0.799919605255127","0.00828934833407402","12.37899216","0.000137495211674832","0.799976348876953","0.0215322058647871","21.62288612","0.000224995266762562","0.799972772598267","0.0300154518336058","30.85489908","0.000312492396915331","0.799971282482147","0.0365558005869389","40.090115","0.00039998916327022","0.799968540668488","0.0420677550137043"
"22","2.41363366","4.99996058351826E-05","0.839686691761017","0.00828838534653187","12.45326436","0.000137495517265052","0.83997631072998","0.0217527952045202","21.69716664","0.00022499515034724","0.83997243642807","0.0303881913423538","30.92917338","0.00031249230960384","0.839969873428345","0.0369900837540627","40.16437468","0.000399989512516186","0.839968204498291","0.0425310246646404"
"23","2.48790132","4.99996858707163E-05","0.879412472248077","0.00829135999083519","12.52754604","0.000137495648232289","0.879992127418518","0.0219566822052002","21.7714554","0.000224995281314477","0.879989087581635","0.0307528525590897","31.00345392","0.000312492251396179","0.879987180233002","0.0374187380075455","40.23865378","0.000399989337893203","0.879985213279724","0.0429898053407669"
"24","2.56216292","4.9999616749119E-05","0.919075727462769","0.00829674489796162","12.60181128","0.000137495328090154","0.919991314411163","0.0221423413604498","21.84574304","0.000224995092139579","0.919987261295319","0.0311090424656868","31.07772894","0.00031249230960384","0.919985294342041","0.0378412306308746","40.3129178","0.000399989512516186","0.919981420040131","0.0434434451162815"
"25","2.63645012","4.99996385769919E-05","0.958705127239227","0.00830424949526787","12.67609968","0.000137495604576543","0.959989070892334","0.0223091393709183","21.92001698","0.000224995179451071","0.959984540939331","0.0314569026231766","31.15199174","0.00031249230960384","0.959983646869659","0.038257759064436","40.38719792","0.00039998977445066","0.959980607032776","0.0438923053443432"
"26","2.71072764","4.99996676808223E-05","0.998318374156952","0.0083130206912756","12.75037338","0.000137495720991865","0.999995648860931","0.0224564764648676","21.99429094","0.000224995324970223","0.999991714954376","0.0317963622510433","31.22626964","0.000312492047669366","0.999988794326782","0.0386683754622936","40.46146974","0.000399989308789372","0.999986112117767","0.0443360432982445"
"27","2.78499632","4.99996385769919E-05","1.03789508342743","0.00832291506230831","12.82464588","0.000137495691888034","1.03997683525085","0.022584106773138","22.0685672","0.000224995339522138","1.03997206687927","0.0321265198290348","31.30054524","0.000312492455122992","1.03996849060059","0.0390728451311588","40.53574224","0.000399989250581712","1.03996682167053","0.0447745025157928"
"28","2.85927182","4.99996058351826E-05","1.07749152183533","0.00833317264914513","12.89891992","0.000137495502713136","1.07997286319733","0.022692957893014","22.14285672","0.000224994961172342","1.07996881008148","0.0324478447437286","31.3748234","0.000312491989461705","1.07996737957001","0.0394713245332241","40.61002882","0.000399989512516186","1.07996499538422","0.0452083237469196"
